"Szenario";"Type";"Age";"Min";"Q1";"Median";"Mean";"Q3";"Max";"SD";"UCB_95";"Mean_Exp_Age"
"1";"disease";"80";"0";"120";"315";"987.83";"540";"12600";"1892.74";"5640";"89.78"
"1";"all";"81";"0";"555";"1440";"2516.97";"2400";"31760";"3858.07";"11600";"90.09"
"1";"control";"81";"0";"0";"720";"803.51";"1440";"2400";"742.02";"2160";"90.09"
"1";"perio";"81";"0";"0";"0";"810.01";"0";"24680";"2704.54";"7520";"90.09"
"1";"disease";"81";"0";"105";"285";"903.46";"510";"12000";"1761.79";"5280";"90.09"
"1";"all";"82";"0";"480";"1350";"2371.88";"2265";"28400";"3654.78";"11120";"90.48"
"1";"control";"82";"0";"0";"640";"754.04";"1320";"2280";"703.88";"2040";"90.48"
"1";"perio";"82";"0";"0";"0";"767.23";"0";"21680";"2563.03";"7040";"90.48"
"1";"disease";"82";"0";"90";"270";"850.62";"480";"11400";"1662.8";"4920";"90.48"
"1";"all";"83";"0";"450";"1230";"2189.99";"2100";"28560";"3393.9";"10160";"90.81"
"1";"control";"83";"0";"0";"600";"705.02";"1200";"2160";"662.25";"1920";"90.81"
"1";"perio";"83";"0";"0";"0";"704.38";"0";"22200";"2374.6";"6440";"90.81"
"1";"disease";"83";"0";"90";"255";"780.58";"450";"10800";"1545.56";"4560";"90.81"
"1";"all";"84";"0";"435";"1145";"2033.62";"1965";"25360";"3201.81";"9440";"91.21"
"1";"control";"84";"0";"0";"600";"658.35";"1080";"2040";"623.43";"1800";"91.21"
"1";"perio";"84";"0";"0";"0";"659.15";"0";"19720";"2251.5";"5960";"91.21"
"1";"disease";"84";"0";"75";"240";"716.11";"420";"10200";"1426.7";"4200";"91.21"
"1";"all";"85";"0";"405";"1050";"1891.56";"1845";"25360";"2991.95";"8801.5";"91.62"
"1";"control";"85";"0";"0";"480";"611.5";"1080";"1920";"586.28";"1680";"91.62"
"1";"perio";"85";"0";"0";"0";"607.71";"0";"19720";"2095.12";"5560";"91.62"
"1";"disease";"85";"0";"75";"210";"672.36";"390";"9600";"1352.78";"3840";"91.62"
"1";"all";"86";"0";"315";"955";"1729.59";"1710";"22880";"2749.26";"8000";"92.07"
"1";"control";"86";"0";"0";"480";"571.69";"960";"1800";"549.55";"1680";"92.07"
"1";"perio";"86";"0";"0";"0";"548.73";"0";"17600";"1923.05";"5040";"92.07"
"1";"disease";"86";"0";"60";"195";"609.17";"360";"9000";"1237.91";"3480";"92.07"
"1";"all";"87";"0";"300";"885";"1606.66";"1600";"23920";"2591.75";"7400";"92.54"
"1";"control";"87";"0";"0";"440";"529.04";"920";"1680";"514.56";"1560";"92.54"
"1";"perio";"87";"0";"0";"0";"517.59";"0";"19000";"1825.04";"4520";"92.54"
"1";"disease";"87";"0";"60";"180";"560.04";"345";"8400";"1142.5";"3200";"92.54"
